DataSets,Count
NeXtProt,0
WikiPathways,0
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
DisGeNET,1
